datetime,ADA,ATOM,BCH,BNB,BTC,ETH,DOGE,SOL,XRP
2021-04-01T00:30:00.0,1.19941,19.21,547.23,302.961,58903.48,1924.24,0.0537402,19.3456,0.56561
2021-04-01T01:00:00.0,1.1944,19.286,552.49,304.649,59221.95,1932.38,0.0539064,19.4433,0.57148
2021-04-01T01:30:00.0,1.19104,19.268,547.67,302.8469,59132.25,1927.24,0.0539475,19.3178,0.57846
2021-04-01T02:00:00.0,1.19015,19.119,548.5,306.7423,59143.72,1939.81,0.0541841,19.4898,0.57949
2021-04-01T02:30:00.0,1.19057,19.033,546.08,306.6539,59065.26,1927.56,0.0539255,19.5303,0.57882
2021-04-01T03:00:00.0,1.19127,19.014,545.45,307.4769,59086.99,1925.4,0.0541786,19.5797,0.57712
2021-04-01T03:30:00.0,1.18741,18.996,541.7,305.8834,58991.04,1914.64,0.0539871,19.5329,0.57323
2021-04-01T04:00:00.0,1.18779,19.081,541.56,306.5715,59119.02,1922.8,0.0540727,19.746,0.573
2021-04-01T04:30:00.0,1.19098,19.084,543.93,307.5375,59093.99,1924.24,0.0540936,20.1105,0.57608
2021-04-01T05:00:00.0,1.19403,19.171,540.0,306.3832,58869.99,1915.92,0.0539357,20.1603,0.57166
2021-04-01T05:30:00.0,1.1966,19.29,539.93,306.2771,58852.58,1913.03,0.0539223,20.2327,0.57252
2021-04-01T06:00:00.0,1.18923,19.227,535.46,305.1624,58764.79,1909.12,0.0540299,20.0427,0.56724
2021-04-01T06:30:00.0,1.19272,19.377,539.98,307.278,58912.88,1916.32,0.0544287,20.1535,0.56989
2021-04-01T07:00:00.0,1.18838,19.326,536.86,310.2272,58731.61,1915.25,0.0540757,20.0267,0.56731
2021-04-01T07:30:00.0,1.19084,19.298,538.78,312.6443,58871.13,1931.34,0.0540193,19.9905,0.57009
2021-04-01T08:00:00.0,1.1914,19.481,538.96,313.2238,58817.77,1926.31,0.0540169,19.9834,0.5699
2021-04-01T08:30:00.0,1.20137,19.63,542.69,318.8273,59332.85,1960.88,0.0543755,19.9383,0.57238
2021-04-01T09:00:00.0,1.19677,19.552,538.7,315.6953,58839.7,1943.27,0.0539584,19.7061,0.56565
2021-04-01T09:30:00.0,1.19469,19.584,539.55,316.8101,59001.01,1946.45,0.0539075,19.5397,0.56735
2021-04-01T10:00:00.0,1.19232,19.704,537.64,314.3064,58820.19,1937.52,0.0540106,19.5205,0.56512
2021-04-01T10:30:00.0,1.19109,19.454,536.33,316.0285,58708.73,1934.46,0.0584599,19.5382,0.56019
2021-04-01T11:00:00.0,1.19073,19.295,535.68,316.7879,58630.99,1929.24,0.0629546,19.3593,0.56228
2021-04-01T11:30:00.0,1.1842,19.191,532.41,312.8324,58386.46,1913.88,0.0677716,19.2299,0.55669
2021-04-01T12:00:00.0,1.18999,19.285,533.4,313.7071,58584.32,1920.07,0.0668588,19.2831,0.55553
2021-04-01T12:30:00.0,1.18967,19.448,533.88,316.4899,58691.22,1923.58,0.0641169,19.2382,0.55428
2021-04-01T13:00:00.0,1.18964,19.343,533.02,315.4829,58730.06,1922.0,0.0626137,19.1429,0.55635
2021-04-01T13:30:00.0,1.19047,19.624,536.55,318.5132,58928.94,1932.36,0.0613321,19.12,0.55922
2021-04-01T14:00:00.0,1.19189,19.51,537.28,320.6418,58930.34,1934.0,0.0612743,19.2863,0.55824
2021-04-01T14:30:00.0,1.18882,19.426,536.5,323.6143,58990.1,1926.23,0.0590209,19.1953,0.55923
2021-04-01T15:00:00.0,1.19,19.617,545.13,327.8253,58999.86,1932.05,0.0605156,19.254,0.56915
2021-04-01T15:30:00.0,1.19922,19.51,542.19,326.4917,59066.32,1937.14,0.0590863,19.4139,0.56425
2021-04-01T16:00:00.0,1.19429,19.488,543.73,327.4493,58974.65,1944.39,0.059361,19.4277,0.5626
2021-04-01T16:30:00.0,1.194,19.571,549.9,327.8497,58827.0,1943.1,0.0615817,19.267,0.5663
2021-04-01T17:00:00.0,1.19169,19.457,546.29,325.8272,58754.87,1946.17,0.0607469,19.1575,0.56505
2021-04-01T17:30:00.0,1.19395,19.463,546.55,326.667,58714.47,1959.55,0.0607,19.1828,0.56535
2021-04-01T18:00:00.0,1.18694,19.265,538.96,322.0,58501.63,1940.3,0.0590721,18.8779,0.55916
2021-04-01T18:30:00.0,1.18754,19.299,539.19,323.9172,58644.83,1937.61,0.0588064,18.9583,0.56196
2021-04-01T19:00:00.0,1.18732,19.4,541.21,327.8249,58716.56,1967.29,0.0589297,19.0981,0.56055
2021-04-01T19:30:00.0,1.18561,19.29,550.2,325.8363,58701.79,1966.67,0.0584423,19.033,0.56452
2021-04-01T20:00:00.0,1.18489,19.257,553.34,327.9105,58918.99,1974.12,0.0584414,19.1458,0.56588
2021-04-01T20:30:00.0,1.18709,19.297,553.53,329.0309,58912.82,1976.74,0.0590026,19.1429,0.56707
2021-04-01T21:00:00.0,1.1886,19.358,553.42,328.6761,58854.75,1969.75,0.0597994,19.1335,0.56449
2021-04-01T21:30:00.0,1.1864,19.275,552.62,330.6097,58700.0,1962.84,0.0593689,19.0522,0.56459
2021-04-01T22:00:00.0,1.18814,19.247,552.25,331.8205,58760.67,1963.45,0.0593449,19.0599,0.56405
2021-04-01T22:30:00.0,1.18902,19.303,551.7,331.2268,58866.11,1962.39,0.0604966,19.0416,0.56606
2021-04-01T23:00:00.0,1.18712,19.459,554.74,335.98,59007.28,1971.62,0.0602997,19.16,0.56893
2021-04-01T23:30:00.0,1.18585,19.502,554.93,337.3129,58898.07,1973.06,0.0608288,19.1476,0.56755
2021-04-02T00:00:00.0,1.18377,19.473,556.66,334.7991,58720.44,1968.05,0.062151,19.0443,0.57087
2021-04-02T00:30:00.0,1.18313,19.33,551.99,339.9901,58655.52,1953.64,0.0601084,18.9982,0.57298
2021-04-02T01:00:00.0,1.18441,19.396,548.37,349.2,58648.62,1958.16,0.0590508,18.9196,0.57555
2021-04-02T01:30:00.0,1.18601,19.443,552.41,349.7038,58829.58,1969.24,0.0590871,18.8627,0.57417
2021-04-02T02:00:00.0,1.18928,19.397,555.73,347.3175,58891.26,1995.54,0.059537,18.8546,0.57168
2021-04-02T02:30:00.0,1.19448,19.403,561.14,341.5175,59473.62,1990.96,0.0599648,18.591,0.57087
2021-04-02T03:00:00.0,1.19449,19.35,557.77,343.8698,59718.72,1997.06,0.0599232,18.6688,0.57018
2021-04-02T03:30:00.0,1.19367,19.433,559.05,343.1533,59812.6,2005.34,0.0595087,18.6588,0.5722
2021-04-02T04:00:00.0,1.19151,19.357,560.33,343.9262,59869.79,1996.63,0.0602326,18.724,0.57255
2021-04-02T04:30:00.0,1.19191,19.325,557.13,343.4812,59626.68,1991.55,0.0595804,18.7288,0.5695
2021-04-02T05:00:00.0,1.19536,19.371,557.52,344.4623,59562.12,1995.37,0.0590865,18.8124,0.56928
2021-04-02T05:30:00.0,1.19338,19.501,555.87,352.4736,59541.8,1995.19,0.0591669,18.9,0.57058
2021-04-02T06:00:00.0,1.19337,19.469,557.4,352.6432,59554.69,1990.63,0.0588772,19.0001,0.57028
2021-04-02T06:30:00.0,1.19767,19.586,555.39,355.6014,59498.23,1992.0,0.0586468,18.9099,0.56831
2021-04-02T07:00:00.0,1.20122,19.668,555.4,352.0991,59527.58,1995.81,0.05872,18.9857,0.5763
2021-04-02T07:30:00.0,1.22401,19.655,560.36,351.9578,59717.99,2006.58,0.0589579,19.0616,0.5849
2021-04-02T08:00:00.0,1.22558,19.587,557.4,351.5284,59417.63,1994.71,0.058353,19.018,0.5789
2021-04-02T08:30:00.0,1.2137,19.625,563.02,353.839,59535.97,2002.41,0.0588703,19.0609,0.5819
2021-04-02T09:00:00.0,1.22223,19.689,558.26,352.1044,59483.5,1991.31,0.0586489,19.0683,0.58092
2021-04-02T09:30:00.0,1.21699,19.683,556.47,348.8275,59464.9,1990.01,0.0580289,19.0266,0.57828
2021-04-02T10:00:00.0,1.21506,19.732,560.58,350.5991,59621.01,1995.58,0.0588834,19.1466,0.58612
2021-04-02T10:30:00.0,1.22378,19.772,559.73,349.8094,59604.78,1995.54,0.0607375,19.1156,0.58404
2021-04-02T11:00:00.0,1.2147,19.936,560.71,347.7001,59597.49,2000.22,0.0595,19.1029,0.58719
2021-04-02T11:30:00.0,1.21083,19.855,561.01,347.9484,59514.99,2002.74,0.0598586,19.0443,0.58244
2021-04-02T12:00:00.0,1.20787,19.768,575.32,346.8385,59542.78,2005.61,0.059233,19.1032,0.58125
2021-04-02T12:30:00.0,1.20937,19.763,575.89,343.4429,59378.57,1998.9,0.0589916,19.2724,0.58195
2021-04-02T13:00:00.0,1.2106,19.72,576.16,346.156,59491.3,2005.0,0.0590208,19.2584,0.57841
2021-04-02T13:30:00.0,1.20428,19.57,571.23,346.0089,59294.41,1997.94,0.0587846,19.2125,0.57876
2021-04-02T14:00:00.0,1.20287,19.561,570.85,345.5601,59204.99,2007.36,0.0588912,19.2064,0.57723
2021-04-02T14:30:00.0,1.20039,19.669,572.42,349.2,59128.41,2029.21,0.0587399,19.221,0.57949
2021-04-02T15:00:00.0,1.20288,19.851,581.72,349.2984,59363.17,2070.02,0.058787,19.3952,0.5803
2021-04-02T15:30:00.0,1.21005,20.029,587.64,347.1592,59536.0,2072.27,0.0592436,19.4229,0.58192
2021-04-02T16:00:00.0,1.21175,20.033,585.59,346.8853,59480.06,2073.89,0.0587969,19.4936,0.58237
2021-04-02T16:30:00.0,1.21104,20.271,591.9,343.2,59340.01,2063.43,0.0585869,19.5895,0.60137
