datetime,ADA,ATOM,BCH,BNB,BTC,ETH,DOGE,SOL,XRP
2021-04-01T00:30:00.0,1.2,19.213,548.8,304.1138,59092.97,1937.82,0.0540411,19.4412,0.57379
2021-04-01T01:00:00.0,1.203,19.699,554.66,304.8268,59240.07,1933.84,0.0540005,19.4644,0.57292
2021-04-01T01:30:00.0,1.19635,19.306,553.69,305.48,59314.41,1934.98,0.05415,19.4921,0.59555
2021-04-01T02:00:00.0,1.19212,19.27,550.66,307.8,59230.0,1944.0,0.0542,19.5,0.58482
2021-04-01T02:30:00.0,1.19199,19.138,550.62,308.4287,59309.44,1944.66,0.05425,19.5944,0.58488
2021-04-01T03:00:00.0,1.19263,19.064,548.25,309.0,59250.0,1934.0,0.0542392,19.5797,0.581
2021-04-01T03:30:00.0,1.19145,19.093,545.8,307.7241,59165.27,1926.0,0.0541785,19.6815,0.57719
2021-04-01T04:00:00.0,1.1895,19.097,543.9,306.5792,59130.42,1923.18,0.0540996,19.7578,0.57458
2021-04-01T04:30:00.0,1.19185,19.087,544.73,308.0,59232.59,1928.48,0.0541628,20.3395,0.57833
2021-04-01T05:00:00.0,1.19924,19.351,544.96,308.2,59150.0,1926.26,0.0542248,20.2017,0.57799
2021-04-01T05:30:00.0,1.19869,19.44,541.21,307.0,58965.45,1920.67,0.0540349,20.2327,0.57468
2021-04-01T06:00:00.0,1.19721,19.301,540.41,306.74,58970.0,1918.3,0.0541688,20.3583,0.57287
2021-04-01T06:30:00.0,1.19478,19.462,540.01,307.5,59032.34,1919.66,0.054625,20.1737,0.57103
2021-04-01T07:00:00.0,1.1945,19.41,542.14,314.0,59016.88,1926.08,0.0545324,20.1699,0.57145
2021-04-01T07:30:00.0,1.19226,19.376,539.17,313.8373,58923.46,1932.0,0.0542334,20.0745,0.57063
2021-04-01T08:00:00.0,1.19462,19.485,539.32,315.0,58937.34,1932.01,0.0541898,20.1079,0.57047
2021-04-01T08:30:00.0,1.20263,19.678,543.75,320.5657,59490.0,1964.54,0.0544212,20.0805,0.57441
2021-04-01T09:00:00.0,1.20772,19.677,546.81,318.9997,59348.43,1967.82,0.0544369,20.0503,0.57264
2021-04-01T09:30:00.0,1.201,19.73,544.18,318.9675,59256.42,1956.97,0.0540882,19.763,0.56844
2021-04-01T10:00:00.0,1.19576,19.828,539.55,317.0513,59001.01,1946.76,0.054102,19.6473,0.56762
2021-04-01T10:30:00.0,1.19499,19.725,540.17,317.7942,58974.34,1943.5,0.0586299,19.7844,0.56666
2021-04-01T11:00:00.0,1.193,19.47,540.84,318.2636,58850.0,1937.32,0.066735,19.533,0.56536
2021-04-01T11:30:00.0,1.1908,19.342,535.57,316.8177,58628.87,1929.66,0.0687192,19.355,0.56256
2021-04-01T12:00:00.0,1.19263,19.342,534.47,313.9689,58695.98,1927.0,0.07135,19.3105,0.55945
2021-04-01T12:30:00.0,1.19119,19.467,535.49,316.6,58727.34,1925.5,0.0670599,19.3322,0.55969
2021-04-01T13:00:00.0,1.19046,19.449,533.69,316.5297,58740.82,1924.99,0.0646961,19.2477,0.55698
2021-04-01T13:30:00.0,1.19299,19.633,538.42,319.9,59100.99,1936.0,0.0643583,19.2171,0.56053
2021-04-01T14:00:00.0,1.19241,19.658,539.85,323.911,59111.71,1942.0,0.0624464,19.3181,0.56288
2021-04-01T14:30:00.0,1.19187,19.518,537.81,325.0,59087.81,1934.21,0.0615476,19.2912,0.55932
2021-04-01T15:00:00.0,1.19075,19.633,545.69,329.86,59033.26,1934.0,0.0605154,19.3089,0.572
2021-04-01T15:30:00.0,1.1997,19.695,546.65,330.888,59263.3,1945.96,0.0605363,19.4182,0.57168
2021-04-01T16:00:00.0,1.19925,19.568,544.05,328.0914,59170.48,1947.99,0.0596466,19.4898,0.56608
2021-04-01T16:30:00.0,1.19871,19.678,559.23,329.6173,59146.77,1956.67,0.0619,19.502,0.5712
2021-04-01T17:00:00.0,1.1945,19.571,549.71,327.7689,58897.93,1949.33,0.0623,19.2881,0.56617
2021-04-01T17:30:00.0,1.19461,19.501,547.35,327.875,58850.0,1959.63,0.0616522,19.2358,0.56556
2021-04-01T18:00:00.0,1.19463,20.2,548.43,327.7197,58748.91,1965.83,0.0607184,19.1976,0.56691
2021-04-01T18:30:00.0,1.191,19.348,540.58,324.9046,58711.09,1943.23,0.0593539,18.9675,0.56209
2021-04-01T19:00:00.0,1.1905,19.4,542.39,327.9009,58824.16,1975.78,0.0591671,19.1476,0.563
2021-04-01T19:30:00.0,1.19165,19.419,550.54,329.95,58916.99,1984.77,0.05912,19.1422,0.56793
2021-04-01T20:00:00.0,1.187,19.338,558.93,328.3915,58953.24,1980.12,0.0589188,19.1929,0.5672
2021-04-01T20:30:00.0,1.18862,19.318,555.07,329.9,59033.0,1983.35,0.0590309,19.2449,0.57172
2021-04-01T21:00:00.0,1.19065,19.431,555.08,330.25,59020.0,1982.76,0.0611847,19.1998,0.56815
2021-04-01T21:30:00.0,1.18973,19.372,558.69,330.7279,58936.15,1974.03,0.0600164,19.1676,0.56518
2021-04-01T22:00:00.0,1.191,19.366,555.59,333.0,58797.08,1968.7,0.0598325,19.1383,0.56553
2021-04-01T22:30:00.0,1.191,19.314,554.79,332.8858,58984.12,1968.59,0.061,19.0923,0.5685
2021-04-01T23:00:00.0,1.19072,19.568,555.0,337.97,59054.37,1972.63,0.0606715,19.1948,0.57071
2021-04-01T23:30:00.0,1.18838,19.504,559.26,339.0,59069.74,1978.9,0.0608288,19.2696,0.57186
2021-04-02T00:00:00.0,1.18631,19.6,560.0,338.6993,58909.99,1976.81,0.0622,19.1545,0.57331
2021-04-02T00:30:00.0,1.18868,19.628,560.48,340.0,58884.87,1972.53,0.0629044,19.1279,0.5788
2021-04-02T01:00:00.0,1.18826,19.778,554.97,349.2,58754.35,1962.59,0.060107,18.9926,0.57972
