datetime,ADA,ATOM,BCH,BNB,BTC,ETH,DOGE,SOL,XRP
2021-04-01T00:30:00.0,1.19097,19.08,541.07,300.71,58720.82,1919.37,0.0535,19.3359,0.56559
2021-04-01T01:00:00.0,1.19149,19.209,546.59,302.1754,58903.47,1920.92,0.0537193,19.35,0.56447
2021-04-01T01:30:00.0,1.18707,19.106,545.38,302.3403,59076.96,1923.61,0.0538589,19.2334,0.56997
2021-04-01T02:00:00.0,1.18709,19.056,544.82,302.6903,58931.43,1927.11,0.053892,19.3062,0.57789
2021-04-01T02:30:00.0,1.18878,18.985,544.79,306.2244,59037.69,1924.65,0.0538776,19.4489,0.57578
2021-04-01T03:00:00.0,1.18896,18.902,544.7,305.4605,59014.9,1924.3,0.053912,19.4217,0.57714
2021-04-01T03:30:00.0,1.1867,18.942,541.45,305.6158,58943.81,1912.64,0.0539761,19.49,0.57207
2021-04-01T04:00:00.0,1.18591,18.991,540.48,304.0618,58941.56,1913.52,0.0539205,19.4959,0.57098
2021-04-01T04:30:00.0,1.18637,19.013,540.63,305.8163,59000.0,1917.86,0.0539815,19.6721,0.57114
2021-04-01T05:00:00.0,1.18736,19.008,536.0,304.1933,58622.0,1899.88,0.053708,19.9951,0.56878
2021-04-01T05:30:00.0,1.194,19.151,536.78,305.1142,58660.77,1902.91,0.0538,20.0468,0.57
2021-04-01T06:00:00.0,1.189,19.201,534.52,304.8826,58750.0,1908.38,0.0539354,20.0426,0.56584
2021-04-01T06:30:00.0,1.18901,19.213,535.04,305.0974,58757.55,1909.11,0.0540293,19.9724,0.56742
2021-04-01T07:00:00.0,1.18445,19.126,535.19,306.8827,58659.02,1912.68,0.0539704,19.9812,0.56408
2021-04-01T07:30:00.0,1.181,19.185,531.79,307.1428,58500.2,1909.0,0.0536509,19.845,0.56298
2021-04-01T08:00:00.0,1.1884,19.255,536.73,311.7507,58636.0,1920.21,0.053852,19.9354,0.56705
2021-04-01T08:30:00.0,1.19082,19.376,538.97,313.2925,58807.05,1926.3,0.0540294,19.8206,0.56908
2021-04-01T09:00:00.0,1.18797,19.27,533.54,310.306,58564.01,1932.47,0.0537,19.5425,0.563
2021-04-01T09:30:00.0,1.19,19.532,538.65,315.7,58811.36,1943.0,0.0538161,19.54,0.56554
2021-04-01T10:00:00.0,1.191,19.544,536.87,314.0657,58722.01,1934.33,0.053758,19.4837,0.56454
2021-04-01T10:30:00.0,1.19073,19.444,536.34,313.79,58650.0,1933.03,0.0539153,19.4806,0.55909
2021-04-01T11:00:00.0,1.187,19.209,534.0,314.6247,58500.0,1922.44,0.0581732,19.3341,0.56004
2021-04-01T11:30:00.0,1.1815,19.102,528.65,311.01,58115.0,1906.0,0.0625101,19.1754,0.55253
2021-04-01T12:00:00.0,1.18297,19.175,531.59,312.0034,58300.0,1911.23,0.065227,19.0737,0.55471
2021-04-01T12:30:00.0,1.18724,19.171,531.26,311.7382,58375.51,1912.0,0.06278,19.2,0.55296
2021-04-01T13:00:00.0,1.185,19.303,529.45,314.421,58440.03,1914.63,0.062,18.9911,0.55343
2021-04-01T13:30:00.0,1.18846,19.285,532.92,315.0,58712.0,1921.7,0.0611262,19.1058,0.55539
2021-04-01T14:00:00.0,1.18828,19.504,536.29,317.9195,58834.99,1931.32,0.0605392,19.1255,0.55803
2021-04-01T14:30:00.0,1.18755,19.406,534.73,319.7067,58771.17,1920.0,0.0589042,19.1585,0.54864
2021-04-01T15:00:00.0,1.18483,19.396,535.76,323.1495,58844.61,1922.26,0.0588001,19.1989,0.55889
2021-04-01T15:30:00.0,1.18748,19.462,541.04,323.5643,58935.01,1929.74,0.059,19.2542,0.56362
2021-04-01T16:00:00.0,1.19375,19.416,541.27,323.6948,58947.36,1933.18,0.0584,19.3727,0.56217
2021-04-01T16:30:00.0,1.189,19.421,541.21,325.5044,58750.0,1938.94,0.0588841,19.2095,0.562
2021-04-01T17:00:00.0,1.1895,19.361,544.01,324.6986,58646.28,1938.55,0.0603102,19.1061,0.56244
2021-04-01T17:30:00.0,1.19,19.4,543.02,324.6725,58601.09,1944.76,0.0604114,19.097,0.56284
2021-04-01T18:00:00.0,1.182,19.1,535.84,317.94,58317.33,1929.5,0.05821,18.7744,0.55619
2021-04-01T18:30:00.0,1.17171,19.0,530.02,314.9355,57935.48,1885.02,0.056999,18.7433,0.55028
2021-04-01T19:00:00.0,1.18351,19.185,537.11,322.306,58516.35,1935.02,0.0581531,18.9377,0.55803
2021-04-01T19:30:00.0,1.18283,19.25,541.27,323.025,58599.67,1960.0,0.057864,18.9246,0.56054
2021-04-01T20:00:00.0,1.18224,19.202,548.85,324.1941,58690.0,1962.89,0.0580942,18.9792,0.56423
2021-04-01T20:30:00.0,1.1835,19.203,550.4,326.9821,58621.59,1965.69,0.0582762,19.095,0.56481
2021-04-01T21:00:00.0,1.18644,19.276,551.54,327.6376,58790.43,1966.81,0.05899,19.0863,0.56364
2021-04-01T21:30:00.0,1.1858,19.208,551.3,327.1428,58686.78,1961.53,0.059171,19.0463,0.5628
2021-04-01T22:00:00.0,1.18286,19.185,550.33,329.0,58544.16,1950.36,0.0588,18.9915,0.56162
2021-04-01T22:30:00.0,1.18644,19.198,549.78,330.2722,58524.7,1954.38,0.0591845,18.9946,0.56253
2021-04-01T23:00:00.0,1.18666,19.295,551.99,331.1,58862.15,1962.45,0.0594451,19.0659,0.56609
