datetime,ADA,ATOM,BCH,BNB,BTC,ETH,DOGE,SOL,XRP
2021-04-01T00:30:00.0,1.19172,19.081,541.11,302.4591,58739.46,1919.37,0.0537835,19.3818,0.5698
2021-04-01T01:00:00.0,1.19921,19.209,547.66,302.961,58903.47,1924.23,0.0537476,19.35,0.56563
2021-04-01T01:30:00.0,1.19465,19.276,552.58,304.6567,59221.95,1932.37,0.0538933,19.4339,0.57148
2021-04-01T02:00:00.0,1.19085,19.268,547.5,302.853,59132.25,1927.31,0.0539475,19.3178,0.5783
2021-04-01T02:30:00.0,1.19011,19.112,548.49,306.3651,59139.74,1940.0,0.0541677,19.4785,0.57949
2021-04-01T03:00:00.0,1.19058,19.033,546.09,306.6973,59065.25,1927.56,0.0539111,19.5303,0.57884
2021-04-01T03:30:00.0,1.19138,19.028,545.8,307.4789,59086.99,1925.34,0.0541785,19.5797,0.57712
2021-04-01T04:00:00.0,1.18734,18.999,541.87,305.8292,58991.03,1914.89,0.0539871,19.537,0.57324
2021-04-01T04:30:00.0,1.1878,19.086,541.56,306.5687,59119.02,1923.04,0.0540493,19.7572,0.573
2021-04-01T05:00:00.0,1.19097,19.084,543.85,307.5376,59093.99,1924.24,0.0540981,20.0985,0.57608
2021-04-01T05:30:00.0,1.19403,19.157,540.14,306.403,58869.99,1916.22,0.0539544,20.1603,0.57166
2021-04-01T06:00:00.0,1.1966,19.29,540.02,306.2745,58852.58,1913.03,0.0539552,20.2327,0.57252
2021-04-01T06:30:00.0,1.18915,19.232,535.12,305.1224,58764.79,1909.12,0.0540299,20.0502,0.56741
2021-04-01T07:00:00.0,1.19271,19.379,539.98,307.2703,58912.88,1916.46,0.0544428,20.1665,0.56988
2021-04-01T07:30:00.0,1.1884,19.307,536.75,310.2323,58734.41,1915.25,0.0540719,20.032,0.56732
2021-04-01T08:00:00.0,1.19085,19.315,538.85,312.6364,58870.39,1931.11,0.0540189,19.9807,0.57001
2021-04-01T08:30:00.0,1.19139,19.481,538.97,313.2925,58817.78,1926.3,0.0540418,19.9862,0.56984
2021-04-01T09:00:00.0,1.20125,19.634,542.61,318.8274,59332.84,1960.89,0.0543777,19.9391,0.5724
2021-04-01T09:30:00.0,1.19684,19.533,538.94,315.6953,58839.7,1943.36,0.0539867,19.7046,0.5656
2021-04-01T10:00:00.0,1.19485,19.601,539.28,316.911,59001.01,1946.46,0.0538941,19.55,0.56734
2021-04-01T10:30:00.0,1.19229,19.704,537.78,314.299,58820.19,1937.44,0.0540293,19.5026,0.56513
2021-04-01T11:00:00.0,1.19109,19.449,536.32,316.0618,58708.74,1934.54,0.0584596,19.5377,0.56019
2021-04-01T11:30:00.0,1.19078,19.299,535.67,316.815,58628.86,1929.5,0.0629074,19.3579,0.56245
2021-04-01T12:00:00.0,1.1842,19.191,532.41,312.8324,58386.45,1913.88,0.0677705,19.2145,0.55669
2021-04-01T12:30:00.0,1.19,19.285,533.4,313.7071,58584.32,1920.08,0.0668588,19.2766,0.55552
2021-04-01T13:00:00.0,1.18965,19.432,533.69,316.5245,58691.22,1923.7,0.0641153,19.2382,0.55427
2021-04-01T13:30:00.0,1.18948,19.327,533.02,315.4854,58730.07,1921.99,0.0626082,19.1429,0.55634
2021-04-01T14:00:00.0,1.19047,19.615,536.55,318.513,58928.93,1932.31,0.061332,19.12,0.55922
2021-04-01T14:30:00.0,1.19188,19.51,537.28,320.6418,58930.34,1934.0,0.0612743,19.2866,0.55824
2021-04-01T15:00:00.0,1.18882,19.426,536.46,323.6143,58990.11,1926.22,0.0590123,19.2,0.55905
2021-04-01T15:30:00.0,1.18999,19.617,545.1,327.8755,58999.86,1932.04,0.0605154,19.2804,0.56929
2021-04-01T16:00:00.0,1.19921,19.52,542.15,326.4917,59066.31,1937.07,0.0591021,19.4167,0.56424
2021-04-01T16:30:00.0,1.19456,19.476,543.73,327.4583,58974.66,1944.39,0.0593999,19.4311,0.56269
2021-04-01T17:00:00.0,1.19401,19.582,549.62,327.8121,58827.0,1943.1,0.061509,19.267,0.56625
2021-04-01T17:30:00.0,1.19154,19.464,546.29,325.8354,58754.87,1946.39,0.0607487,19.1607,0.56503
2021-04-01T18:00:00.0,1.19399,19.465,546.47,326.6951,58714.48,1959.64,0.0607,19.1979,0.56535
2021-04-01T18:30:00.0,1.18709,19.249,539.19,321.9228,58501.63,1940.3,0.0590753,18.8775,0.55935
2021-04-01T19:00:00.0,1.18769,19.301,539.18,323.8969,58644.83,1937.59,0.0587807,18.9576,0.56194
2021-04-01T19:30:00.0,1.18734,19.4,541.34,327.8249,58716.56,1967.13,0.0589297,19.1176,0.56055
2021-04-01T20:00:00.0,1.18561,19.299,550.31,325.8364,58701.79,1966.67,0.0584908,19.033,0.56465
2021-04-01T20:30:00.0,1.18489,19.244,553.34,327.9105,58918.99,1974.25,0.0584402,19.1396,0.56592
2021-04-01T21:00:00.0,1.18708,19.279,553.51,329.04,58912.82,1977.07,0.0590042,19.1499,0.56705
2021-04-01T21:30:00.0,1.18865,19.36,553.32,328.8373,58854.75,1969.94,0.0597994,19.1237,0.56448
2021-04-01T22:00:00.0,1.18649,19.273,552.62,330.6097,58700.0,1962.84,0.0593288,19.0522,0.56467
2021-04-01T22:30:00.0,1.18813,19.246,552.24,331.831,58760.68,1963.45,0.0593397,19.0805,0.56393
2021-04-01T23:00:00.0,1.18906,19.303,552.0,331.2477,58866.12,1962.46,0.0604966,19.0659,0.56605
2021-04-01T23:30:00.0,1.18712,19.461,555.03,335.98,59007.29,1971.69,0.0602766,19.16,0.5689
2021-04-02T00:00:00.0,1.18589,19.501,554.9,337.439,58898.06,1973.06,0.0608288,19.1475,0.5676
2021-04-02T00:30:00.0,1.1833,19.482,556.66,334.6706,58720.45,1968.05,0.0621509,19.0443,0.57061
2021-04-02T01:00:00.0,1.18306,19.328,551.95,339.9901,58660.21,1953.58,0.0600861,18.995,0.57287
2021-04-02T01:30:00.0,1.18442,19.396,548.41,349.2,58648.62,1958.15,0.059052,18.921,0.57568
2021-04-02T02:00:00.0,1.18602,19.428,552.43,349.5033,58829.59,1969.24,0.0590864,18.8737,0.57417
2021-04-02T02:30:00.0,1.18912,19.397,555.77,347.3175,58891.25,1995.55,0.0595327,18.8545,0.57175
2021-04-02T03:00:00.0,1.19449,19.41,561.18,341.5232,59473.62,1991.09,0.0599728,18.5912,0.571
2021-04-02T03:30:00.0,1.19449,19.35,557.84,343.8698,59718.09,1997.53,0.0599232,18.6688,0.57017
